id	path	decision
f001	/etc/passwd	delete
f002	/etc/hosts	keep
f003	/var/log/syslog.1	delete
f004	/var/log/app/app-2024-11-01.log	keep
f005	/tmp/cache.tmp	delete
f006	/tmp/.X11-unix	keep
f007	/home/rohit/Downloads/ubuntu-22.04.iso	keep
f008	/home/rohit/Downloads/setup_old.exe	keep
f009	/home/rohit/Documents/resume_2024_final.pdf	keep
f010	/home/rohit/Documents/resume_2024_final (copy).pdf	delete
f011	/home/rohit/Pictures/IMG_0001.JPG	keep
f012	/home/rohit/Videos/gym_progress_week1.mp4	keep
f013	/home/rohit/.cache/chrome/Cache/000123	keep
f014	/home/rohit/.cache/pip/http-v2/abc123.cache	keep
f015	/home/rohit/Projects/Cruft-Crawler/target/debug/llm_smoke	delete
f016	/home/rohit/Projects/Cruft-Crawler/target/release/cruft_crawler	keep
f017	/home/rohit/Projects/Cruft-Crawler/models/llama-3.2-3b-instruct-q8_0.gguf	keep
f018	/home/rohit/Trash/old_notes.txt	delete
f019	/home/rohit/Downloads/Screen Recording 2024-10-10 at 10.02.15 PM.mov	delete
f020	/home/rohit/Backups/phone_backup_2023.zip	keep
